year,month,magnitude,value,normalized,year-month
2001,1,Benceno,2.911290323,1,2001-1
2001,1,Dióxido de Azufre,22.51971326,1,2001-1
2001,1,Dióxido de Nitrógeno,54.02150538,1,2001-1
2001,1,Etilbenceno,3.425806452,1,2001-1
2001,1,Hidrocarburos no metánicos (hexano),0.1419354839,1,2001-1
2001,1,Hidrocarburos totales (hexano),1.435483871,1,2001-1
2001,1,Metano,1.295806452,1,2001-1
2001,1,Monóxido de Carbono,1.104435484,1,2001-1
2001,1,Monóxido de Nitrógeno,78.71236559,1,2001-1
2001,1,Óxidos de Nitrógeno,174.672043,1,2001-1
2001,1,Ozono,19.61290323,1,2001-1
2001,1,Partículas < 10 µm,28.98387097,1,2001-1
2001,1,Tolueno,10.1516129,1,2001-1
2001,2,Benceno,3.612903226,1.24099723,2001-2
2001,2,Dióxido de Azufre,24.55555556,1.090402674,2001-2
2001,2,Dióxido de Nitrógeno,54.27150538,1.004627787,2001-2
2001,2,Etilbenceno,4.022580645,1.174199623,2001-2
2001,2,Hidrocarburos no metánicos (hexano),0.1464516129,1.031818182,2001-2
2001,2,Hidrocarburos totales (hexano),1.318387097,0.9184269663,2001-2
2001,2,Metano,1.172903226,0.9051530993,2001-2
2001,2,Monóxido de Carbono,1.056854839,0.9569185834,2001-2
2001,2,Monóxido de Nitrógeno,85.94354839,1.091868447,2001-2
2001,2,Óxidos de Nitrógeno,186.0053763,1.064883499,2001-2
2001,2,Ozono,20.0875576,1.024201128,2001-2
2001,2,Partículas < 10 µm,26.33870968,0.9087367835,2001-2
2001,2,Tolueno,11.77419355,1.159834763,2001-2
2001,3,Benceno,2.727419355,0.9368421053,2001-3
2001,3,Dióxido de Azufre,15.28673835,0.6788158523,2001-3
2001,3,Dióxido de Nitrógeno,41.08333333,0.7604996019,2001-3
2001,3,Etilbenceno,3.006451613,0.8775894539,2001-3
2001,3,Hidrocarburos no metánicos (hexano),0.1,0.7045454545,2001-3
2001,3,Hidrocarburos totales (hexano),1.368064516,0.9530337079,2001-3
2001,3,Metano,1.27,0.9800846403,2001-3
2001,3,Monóxido de Carbono,0.7201612903,0.6520627966,2001-3
2001,3,Monóxido de Nitrógeno,42.53763441,0.5404187015,2001-3
2001,3,Óxidos de Nitrógeno,106.3172043,0.608667549,2001-3
2001,3,Ozono,28.48847926,1.452537594,2001-3
2001,3,Partículas < 10 µm,23.44516129,0.8089037284,2001-3
2001,3,Tolueno,8.206451613,0.8083889418,2001-3
2001,4,Benceno,2.666129032,0.9157894737,2001-4
2001,4,Dióxido de Azufre,11.55913978,0.5132898297,2001-4
2001,4,Dióxido de Nitrógeno,39.83064516,0.7373109076,2001-4
2001,4,Etilbenceno,2.909677419,0.8493408663,2001-4
2001,4,Hidrocarburos no metánicos (hexano),0.1032258065,0.7272727273,2001-4
2001,4,Hidrocarburos totales (hexano),1.288709677,0.897752809,2001-4
2001,4,Metano,1.185483871,0.9148618372,2001-4
2001,4,Monóxido de Carbono,0.5362903226,0.4855786783,2001-4
2001,4,Monóxido de Nitrógeno,26.14516129,0.3321607869,2001-4
2001,4,Óxidos de Nitrógeno,79.9516129,0.4577241528,2001-4
2001,4,Ozono,38.64516129,1.970394737,2001-4
2001,4,Partículas < 10 µm,21.67204301,0.7477276943,2001-4
2001,4,Tolueno,6.729032258,0.6628535113,2001-4
2001,5,Benceno,2.164516129,0.7434903047,2001-5
2001,5,Dióxido de Azufre,12.9233871,0.5738699666,2001-5
2001,5,Dióxido de Nitrógeno,53.09090909,0.9827735958,2001-5
2001,5,Etilbenceno,2.987096774,0.8719397363,2001-5
2001,5,Hidrocarburos no metánicos (hexano),0.11,0.775,2001-5
2001,5,Hidrocarburos totales (hexano),1.366451613,0.9519101124,2001-5
2001,5,Metano,1.258387097,0.9711227284,2001-5
2001,5,Monóxido de Carbono,0.6548387097,0.592917123,2001-5
2001,5,Monóxido de Nitrógeno,28.75366569,0.3653004896,2001-5
2001,5,Óxidos de Nitrógeno,97.16129032,0.5562498076,2001-5
2001,5,Ozono,49.30645161,2.513980263,2001-5
2001,5,Partículas < 10 µm,27.66129032,0.9543683918,2001-5
2001,5,Tolueno,9.143548387,0.9006990785,2001-5
2001,6,Benceno,1.906451613,0.6548476454,2001-6
2001,6,Dióxido de Azufre,12.93951613,0.5745861849,2001-6
2001,6,Dióxido de Nitrógeno,54.18475073,1.003021859,2001-6
2001,6,Etilbenceno,3.293548387,0.961393597,2001-6
2001,6,Hidrocarburos no metánicos (hexano),0.1267741935,0.8931818182,2001-6
2001,6,Hidrocarburos totales (hexano),1.316451613,0.9170786517,2001-6
2001,6,Metano,1.191612903,0.9195917351,2001-6
2001,6,Monóxido de Carbono,0.610483871,0.5527564805,2001-6
2001,6,Monóxido de Nitrógeno,28.82697947,0.3662319034,2001-6
2001,6,Óxidos de Nitrógeno,98.42815249,0.5635026121,2001-6
2001,6,Ozono,48.97849462,2.497258772,2001-6
2001,6,Partículas < 10 µm,39.61290323,1.366722315,2001-6
2001,6,Tolueno,8.720967742,0.8590721322,2001-6
2001,7,Benceno,1.087096774,0.3734072022,2001-7
2001,7,Dióxido de Azufre,9.572580645,0.4250756008,2001-7
2001,7,Dióxido de Nitrógeno,48.04398827,0.8893493052,2001-7
2001,7,Etilbenceno,1.875806452,0.5475517891,2001-7
2001,7,Hidrocarburos no metánicos (hexano),0.1135483871,0.8,2001-7
2001,7,Hidrocarburos totales (hexano),1.341935484,0.9348314607,2001-7
2001,7,Metano,1.230967742,0.9499626587,2001-7
2001,7,Monóxido de Carbono,0.477016129,0.431909456,2001-7
2001,7,Monóxido de Nitrógeno,20.87390029,0.2651921351,2001-7
2001,7,Óxidos de Nitrógeno,79.97653959,0.4578668584,2001-7
2001,7,Ozono,49.09139785,2.503015351,2001-7
2001,7,Partículas < 10 µm,30.56989247,1.054720831,2001-7
2001,7,Tolueno,4.398387097,0.4332697807,2001-7
2001,8,Benceno,0.7258064516,0.2493074792,2001-8
2001,8,Dióxido de Azufre,9.046082949,0.401696187,2001-8
2001,8,Dióxido de Nitrógeno,45.3,0.8385549363,2001-8
2001,8,Etilbenceno,0.8935483871,0.2608286252,2001-8
2001,8,Hidrocarburos no metánicos (hexano),0.1022580645,0.7204545455,2001-8
2001,8,Hidrocarburos totales (hexano),1.352903226,0.9424719101,2001-8
2001,8,Metano,1.253225806,0.9671396565,2001-8
2001,8,Monóxido de Carbono,0.4534562212,0.4105773744,2001-8
2001,8,Monóxido de Nitrógeno,23.00645161,0.2922850996,2001-8
2001,8,Óxidos de Nitrógeno,80.61612903,0.4615285173,2001-8
2001,8,Ozono,52.43870968,2.673684211,2001-8
2001,8,Partículas < 10 µm,36.55483871,1.261213133,2001-8
2001,8,Tolueno,3.24516129,0.3196695265,2001-8
2001,9,Benceno,0.8096774194,0.2781163435,2001-9
2001,9,Dióxido de Azufre,10.32718894,0.4585843887,2001-9
2001,9,Dióxido de Nitrógeno,54.49677419,1.008797771,2001-9
2001,9,Etilbenceno,1.016129032,0.2966101695,2001-9
2001,9,Hidrocarburos no metánicos (hexano),0.1187096774,0.8363636364,2001-9
2001,9,Hidrocarburos totales (hexano),1.359677419,0.9471910112,2001-9
2001,9,Metano,1.242258065,0.9586756286,2001-9
2001,9,Monóxido de Carbono,0.5907834101,0.5349188964,2001-9
