PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,Hora,Valor,Validacion
string,string,string,string,string,string,string,string,number,number,string
28,079,11,12,28079011_12_8,2025,08,25,1,64.0,V
28,079,11,12,28079011_12_8,2025,08,25,2,26.0,V
28,079,11,12,28079011_12_8,2025,08,25,3,5.0,V
28,079,11,12,28079011_12_8,2025,08,25,4,4.0,V
28,079,11,12,28079011_12_8,2025,08,25,5,4.0,V
28,079,11,12,28079011_12_8,2025,08,25,6,5.0,V
28,079,11,12,28079011_12_8,2025,08,25,7,9.0,V
28,079,11,12,28079011_12_8,2025,08,25,8,20.0,V
28,079,11,12,28079011_12_8,2025,08,25,9,39.0,V
28,079,11,12,28079011_12_8,2025,08,25,10,35.0,V
28,079,11,12,28079011_12_8,2025,08,25,11,51.0,V
28,079,11,12,28079011_12_8,2025,08,25,12,65.0,V
28,079,11,12,28079011_12_8,2025,08,25,13,62.0,V
28,079,11,12,28079011_12_8,2025,08,25,14,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,15,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,16,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,17,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,18,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,19,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,20,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,21,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,22,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,23,0.0,N
28,079,11,12,28079011_12_8,2025,08,25,24,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,1,7.3,V
28,079,11,20,28079011_20_59,2025,08,25,2,4.2,V
28,079,11,20,28079011_20_59,2025,08,25,3,1.1,V
28,079,11,20,28079011_20_59,2025,08,25,4,0.7,V
28,079,11,20,28079011_20_59,2025,08,25,5,0.8,V
28,079,11,20,28079011_20_59,2025,08,25,6,1.0,V
28,079,11,20,28079011_20_59,2025,08,25,7,0.8,V
28,079,11,20,28079011_20_59,2025,08,25,8,0.9,V
28,079,11,20,28079011_20_59,2025,08,25,9,1.7,V
28,079,11,20,28079011_20_59,2025,08,25,10,2.1,V
28,079,11,20,28079011_20_59,2025,08,25,11,5.1,V
28,079,11,20,28079011_20_59,2025,08,25,12,6.0,V
28,079,11,20,28079011_20_59,2025,08,25,13,4.1,V
28,079,11,20,28079011_20_59,2025,08,25,14,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,15,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,16,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,17,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,18,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,19,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,20,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,21,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,22,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,23,0.0,N
28,079,11,20,28079011_20_59,2025,08,25,24,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,1,0.7,V
28,079,11,30,28079011_30_59,2025,08,25,2,0.5,V
28,079,11,30,28079011_30_59,2025,08,25,3,0.1,V
28,079,11,30,28079011_30_59,2025,08,25,4,0.0,V
28,079,11,30,28079011_30_59,2025,08,25,5,0.0,V
28,079,11,30,28079011_30_59,2025,08,25,6,0.0,V
28,079,11,30,28079011_30_59,2025,08,25,7,0.1,V
28,079,11,30,28079011_30_59,2025,08,25,8,0.1,V
28,079,11,30,28079011_30_59,2025,08,25,9,0.3,V
28,079,11,30,28079011_30_59,2025,08,25,10,0.3,V
28,079,11,30,28079011_30_59,2025,08,25,11,0.4,V
28,079,11,30,28079011_30_59,2025,08,25,12,0.4,V
28,079,11,30,28079011_30_59,2025,08,25,13,0.4,V
28,079,11,30,28079011_30_59,2025,08,25,14,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,15,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,16,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,17,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,18,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,19,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,20,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,21,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,22,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,23,0.0,N
28,079,11,30,28079011_30_59,2025,08,25,24,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,1,1.0,V
28,079,11,35,28079011_35_59,2025,08,25,2,0.6,V
28,079,11,35,28079011_35_59,2025,08,25,3,0.0,V
28,079,11,35,28079011_35_59,2025,08,25,4,0.0,V
28,079,11,35,28079011_35_59,2025,08,25,5,0.0,V
28,079,11,35,28079011_35_59,2025,08,25,6,0.0,V
28,079,11,35,28079011_35_59,2025,08,25,7,0.0,V
28,079,11,35,28079011_35_59,2025,08,25,8,0.0,V
28,079,11,35,28079011_35_59,2025,08,25,9,0.1,V
28,079,11,35,28079011_35_59,2025,08,25,10,0.1,V
28,079,11,35,28079011_35_59,2025,08,25,11,0.4,V
28,079,11,35,28079011_35_59,2025,08,25,12,0.5,V
28,079,11,35,28079011_35_59,2025,08,25,13,0.8,V
28,079,11,35,28079011_35_59,2025,08,25,14,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,15,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,16,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,17,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,18,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,19,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,20,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,21,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,22,0.0,N
28,079,11,35,28079011_35_59,2025,08,25,23,0.0,N
