PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,Hora,Valor,Validacion
28,079,11,12,28079011_12_8,2025,11,17,1,23,V
28,079,11,12,28079011_12_8,2025,11,17,2,20,V
28,079,11,12,28079011_12_8,2025,11,17,3,16,V
28,079,11,12,28079011_12_8,2025,11,17,4,7,V
28,079,11,12,28079011_12_8,2025,11,17,5,13,V
28,079,11,12,28079011_12_8,2025,11,17,6,16,V
28,079,11,12,28079011_12_8,2025,11,17,7,25,V
28,079,11,12,28079011_12_8,2025,11,17,8,67,V
28,079,11,12,28079011_12_8,2025,11,17,9,77,V
28,079,11,12,28079011_12_8,2025,11,17,10,72,V
28,079,11,12,28079011_12_8,2025,11,17,11,53,V
28,079,11,12,28079011_12_8,2025,11,17,12,56,V
28,079,11,12,28079011_12_8,2025,11,17,13,27,V
28,079,11,12,28079011_12_8,2025,11,17,14,37,V
28,079,11,12,28079011_12_8,2025,11,17,15,44,V
28,079,11,12,28079011_12_8,2025,11,17,16,55,V
28,079,11,12,28079011_12_8,2025,11,17,17,40,V
28,079,11,12,28079011_12_8,2025,11,17,18,39,V
28,079,11,12,28079011_12_8,2025,11,17,19,77,V
28,079,11,12,28079011_12_8,2025,11,17,20,86,V
28,079,11,12,28079011_12_8,2025,11,17,21,89,V
28,079,11,12,28079011_12_8,2025,11,17,22,54,V
28,079,11,12,28079011_12_8,2025,11,17,23,44,V
28,079,11,12,28079011_12_8,2025,11,17,24,29,V
28,079,11,20,28079011_20_59,2025,11,17,1,1.4,V
28,079,11,20,28079011_20_59,2025,11,17,2,1.5,V
28,079,11,20,28079011_20_59,2025,11,17,3,1.4,V
28,079,11,20,28079011_20_59,2025,11,17,4,1.3,V
28,079,11,20,28079011_20_59,2025,11,17,5,1.1,V
28,079,11,20,28079011_20_59,2025,11,17,6,1.5,V
28,079,11,20,28079011_20_59,2025,11,17,7,1.5,V
28,079,11,20,28079011_20_59,2025,11,17,8,2.3,V
28,079,11,20,28079011_20_59,2025,11,17,9,2.9,V
