indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Renta neta media por persona,2022,11.430,11430.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta neta media por persona,2021,10.797,10797.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta neta media por persona,2020,10.239,10239.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta neta media por persona,2019,10.211,10211.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta neta media por persona,2018,9.860,9860.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta neta media por persona,2017,9.552,9552.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta neta media por persona,2016,9.395,9395.0,28079,Madrid,2807912,Madrid distrito 12,,
Mediana de la renta por unidad de consumo,2022,15.050,15050.0,28079,Madrid,2807912,Madrid distrito 12,,
Mediana de la renta por unidad de consumo,2021,14.350,14350.0,28079,Madrid,2807912,Madrid distrito 12,,
Mediana de la renta por unidad de consumo,2020,13.650,13650.0,28079,Madrid,2807912,Madrid distrito 12,,
Mediana de la renta por unidad de consumo,2019,13.650,13650.0,28079,Madrid,2807912,Madrid distrito 12,,
Mediana de la renta por unidad de consumo,2018,12.950,12950.0,28079,Madrid,2807912,Madrid distrito 12,,
Mediana de la renta por unidad de consumo,2017,12.250,12250.0,28079,Madrid,2807912,Madrid distrito 12,,
Mediana de la renta por unidad de consumo,2016,12.250,12250.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por persona,2022,13.481,13481.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por persona,2021,12.678,12678.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por persona,2020,11.928,11928.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por persona,2019,11.877,11877.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por persona,2018,11.442,11442.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por persona,2017,11.076,11076.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por persona,2016,10.872,10872.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por hogar,2022,37.737,37737.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por hogar,2021,35.253,35253.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por hogar,2020,33.517,33517.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por hogar,2019,33.802,33802.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por hogar,2018,32.116,32116.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por hogar,2017,30.729,30729.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta bruta media por hogar,2016,30.036,30036.0,28079,Madrid,2807912,Madrid distrito 12,,
Renta neta media por persona,2022,13.303,13303.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta neta media por persona,2021,12.449,12449.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta neta media por persona,2020,12.192,12192.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta neta media por persona,2019,12.112,12112.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta neta media por persona,2018,11.693,11693.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta neta media por persona,2017,11.134,11134.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta neta media por persona,2016,10.877,10877.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Mediana de la renta por unidad de consumo,2022,17.850,17850.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Mediana de la renta por unidad de consumo,2021,17.850,17850.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
