indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Fuente de ingreso: salario,2022,8.932,8932.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: salario,2021,8.217,8217.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: salario,2020,7.452,7452.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: salario,2019,7.860,7860.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: salario,2018,7.517,7517.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: salario,2017,7.215,7215.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: salario,2016,7.026,7026.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: pensiones,2022,2.662,2662.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: pensiones,2021,2.549,2549.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: pensiones,2020,2.517,2517.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: pensiones,2019,2.454,2454.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: pensiones,2018,2.421,2421.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: pensiones,2017,2.416,2416.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: pensiones,2016,2.416,2416.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: prestaciones por desempleo,2022,254,254.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: prestaciones por desempleo,2021,451,451.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: prestaciones por desempleo,2020,733,733.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: prestaciones por desempleo,2019,237,237.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: prestaciones por desempleo,2018,224,224.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: prestaciones por desempleo,2017,233,233.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: prestaciones por desempleo,2016,257,257.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otras prestaciones,2022,628,628.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otras prestaciones,2021,551,551.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otras prestaciones,2020,499,499.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otras prestaciones,2019,486,486.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otras prestaciones,2018,471,471.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otras prestaciones,2017,431,431.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otras prestaciones,2016,414,414.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otros ingresos,2022,1.006,1006.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otros ingresos,2021,908,908.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otros ingresos,2020,727,727.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otros ingresos,2019,840,840.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otros ingresos,2018,809,809.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otros ingresos,2017,782,782.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: otros ingresos,2016,759,759.0,28079,Madrid,2807912,Madrid distrito 12,,
Fuente de ingreso: salario,2022,9.402,9402.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: salario,2021,8.797,8797.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: salario,2020,8.680,8680.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: salario,2019,8.896,8896.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: salario,2018,8.415,8415.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: salario,2017,7.941,7941.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: salario,2016,7.614,7614.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: pensiones,2022,3.773,3773.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: pensiones,2021,3.462,3462.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: pensiones,2020,3.316,3316.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: pensiones,2019,3.130,3130.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: pensiones,2018,3.066,3066.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: pensiones,2017,3.062,3062.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: pensiones,2016,2.979,2979.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2022,341,341.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2021,585,585.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2020,599,599.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2019,248,248.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2018,277,277.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2017,237,237.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2016,323,323.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2022,957,957.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2021,917,917.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2020,771,771.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2019,677,677.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2018,664,664.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2017,650,650.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2016,643,643.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2022,1.095,1095.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2021,1.021,1021.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2020,824,824.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2019,1.091,1091.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2018,1.139,1139.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2017,980,980.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2016,950,950.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
