indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Índice de Gini,2022,"33,2",33.2,28079,Madrid,2807912,Madrid distrito 12,,
Índice de Gini,2021,"33,4",33.4,28079,Madrid,2807912,Madrid distrito 12,,
Índice de Gini,2020,"34,6",34.6,28079,Madrid,2807912,Madrid distrito 12,,
Índice de Gini,2019,"33,8",33.8,28079,Madrid,2807912,Madrid distrito 12,,
Índice de Gini,2018,"34,5",34.5,28079,Madrid,2807912,Madrid distrito 12,,
Índice de Gini,2017,"34,8",34.8,28079,Madrid,2807912,Madrid distrito 12,,
Índice de Gini,2016,"35,3",35.3,28079,Madrid,2807912,Madrid distrito 12,,
Distribución de la renta P80/P20,2022,3,3.0,28079,Madrid,2807912,Madrid distrito 12,,
Distribución de la renta P80/P20,2021,"2,8",2.8,28079,Madrid,2807912,Madrid distrito 12,,
Distribución de la renta P80/P20,2020,"3,3",3.3,28079,Madrid,2807912,Madrid distrito 12,,
Distribución de la renta P80/P20,2019,3,3.0,28079,Madrid,2807912,Madrid distrito 12,,
Distribución de la renta P80/P20,2018,"3,2",3.2,28079,Madrid,2807912,Madrid distrito 12,,
Distribución de la renta P80/P20,2017,"3,1",3.1,28079,Madrid,2807912,Madrid distrito 12,,
Distribución de la renta P80/P20,2016,"3,5",3.5,28079,Madrid,2807912,Madrid distrito 12,,
Índice de Gini,2022,26,26.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Índice de Gini,2021,"27,2",27.2,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Índice de Gini,2020,"26,5",26.5,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Índice de Gini,2019,"26,5",26.5,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Índice de Gini,2018,"25,5",25.5,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Índice de Gini,2017,"24,4",24.4,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Índice de Gini,2016,"25,9",25.9,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Distribución de la renta P80/P20,2022,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Distribución de la renta P80/P20,2021,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Distribución de la renta P80/P20,2020,"2,2",2.2,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Distribución de la renta P80/P20,2019,"2,2",2.2,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Distribución de la renta P80/P20,2018,"2,2",2.2,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Distribución de la renta P80/P20,2017,"2,2",2.2,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Distribución de la renta P80/P20,2016,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Índice de Gini,2022,"30,7",30.7,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Índice de Gini,2021,"33,3",33.3,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Índice de Gini,2020,"29,5",29.5,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Índice de Gini,2019,"31,1",31.1,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Índice de Gini,2018,"30,4",30.4,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Índice de Gini,2017,"30,7",30.7,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Índice de Gini,2016,"34,2",34.2,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Distribución de la renta P80/P20,2022,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Distribución de la renta P80/P20,2021,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Distribución de la renta P80/P20,2020,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Distribución de la renta P80/P20,2019,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Distribución de la renta P80/P20,2018,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Distribución de la renta P80/P20,2017,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Distribución de la renta P80/P20,2016,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Índice de Gini,2022,"28,2",28.2,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Índice de Gini,2021,"26,9",26.9,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Índice de Gini,2020,"27,2",27.2,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Índice de Gini,2019,"27,6",27.6,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Índice de Gini,2018,"28,7",28.7,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Índice de Gini,2017,"28,6",28.6,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Índice de Gini,2016,"28,5",28.5,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Distribución de la renta P80/P20,2022,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Distribución de la renta P80/P20,2021,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Distribución de la renta P80/P20,2020,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Distribución de la renta P80/P20,2019,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Distribución de la renta P80/P20,2018,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Distribución de la renta P80/P20,2017,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Distribución de la renta P80/P20,2016,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Índice de Gini,2022,26,26.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Índice de Gini,2021,28,28.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Índice de Gini,2020,"28,8",28.8,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Índice de Gini,2019,27,27.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Índice de Gini,2018,"27,5",27.5,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Índice de Gini,2017,28,28.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Índice de Gini,2016,"28,2",28.2,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Distribución de la renta P80/P20,2022,"2,2",2.2,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Distribución de la renta P80/P20,2021,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Distribución de la renta P80/P20,2020,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Distribución de la renta P80/P20,2019,"2,2",2.2,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Distribución de la renta P80/P20,2018,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Distribución de la renta P80/P20,2017,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Distribución de la renta P80/P20,2016,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Índice de Gini,2022,"26,8",26.8,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Índice de Gini,2021,"26,6",26.6,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Índice de Gini,2020,"28,6",28.6,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Índice de Gini,2019,"26,2",26.2,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Índice de Gini,2018,"25,1",25.1,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Índice de Gini,2017,27,27.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Índice de Gini,2016,"27,1",27.1,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Distribución de la renta P80/P20,2022,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Distribución de la renta P80/P20,2021,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Distribución de la renta P80/P20,2020,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Distribución de la renta P80/P20,2019,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Distribución de la renta P80/P20,2018,"2,2",2.2,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Distribución de la renta P80/P20,2017,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Distribución de la renta P80/P20,2016,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Índice de Gini,2022,"26,9",26.9,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Índice de Gini,2021,"26,9",26.9,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Índice de Gini,2020,"28,8",28.8,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Índice de Gini,2019,"27,2",27.2,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Índice de Gini,2018,"26,7",26.7,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Índice de Gini,2017,"26,7",26.7,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Índice de Gini,2016,"27,6",27.6,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Distribución de la renta P80/P20,2022,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Distribución de la renta P80/P20,2021,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Distribución de la renta P80/P20,2020,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Distribución de la renta P80/P20,2019,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Distribución de la renta P80/P20,2018,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Distribución de la renta P80/P20,2017,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Distribución de la renta P80/P20,2016,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Índice de Gini,2022,"30,2",30.2,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Índice de Gini,2021,"29,3",29.3,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Índice de Gini,2020,"31,8",31.8,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Índice de Gini,2019,"30,2",30.2,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Índice de Gini,2018,30,30.0,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Índice de Gini,2017,32,32.0,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Índice de Gini,2016,"31,1",31.1,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Distribución de la renta P80/P20,2022,"2,8",2.8,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Distribución de la renta P80/P20,2021,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Distribución de la renta P80/P20,2020,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Distribución de la renta P80/P20,2019,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Distribución de la renta P80/P20,2018,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
Distribución de la renta P80/P20,2017,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912008,Madrid sección 12008
