indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Edad media de la población,2022,"42,2",42.2,28079,Madrid,2807912,Madrid distrito 12,,
Edad media de la población,2021,"42,3",42.3,28079,Madrid,2807912,Madrid distrito 12,,
Edad media de la población,2020,"42,1",42.1,28079,Madrid,2807912,Madrid distrito 12,,
Edad media de la población,2019,"41,9",41.9,28079,Madrid,2807912,Madrid distrito 12,,
Edad media de la población,2018,"41,9",41.9,28079,Madrid,2807912,Madrid distrito 12,,
Edad media de la población,2017,"41,9",41.9,28079,Madrid,2807912,Madrid distrito 12,,
Edad media de la población,2016,"41,9",41.9,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población menor de 18 años,2022,"16,3",16.3,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población menor de 18 años,2021,"16,7",16.7,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población menor de 18 años,2020,"16,9",16.9,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población menor de 18 años,2019,"17,1",17.1,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población menor de 18 años,2018,"17,6",17.6,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población menor de 18 años,2017,"17,8",17.8,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población menor de 18 años,2016,18,18.0,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población de 65 y más años,2022,"16,6",16.6,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población de 65 y más años,2021,"16,9",16.9,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población de 65 y más años,2020,"16,7",16.7,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población de 65 y más años,2019,"16,9",16.9,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población de 65 y más años,2018,"17,2",17.2,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población de 65 y más años,2017,"17,5",17.5,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de población de 65 y más años,2016,"17,7",17.7,28079,Madrid,2807912,Madrid distrito 12,,
Tamaño medio del hogar,2022,"2,8",2.8,28079,Madrid,2807912,Madrid distrito 12,,
Tamaño medio del hogar,2021,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,,
Tamaño medio del hogar,2020,"2,8",2.8,28079,Madrid,2807912,Madrid distrito 12,,
Tamaño medio del hogar,2019,"2,8",2.8,28079,Madrid,2807912,Madrid distrito 12,,
Tamaño medio del hogar,2018,"2,8",2.8,28079,Madrid,2807912,Madrid distrito 12,,
Tamaño medio del hogar,2017,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,,
Tamaño medio del hogar,2016,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de hogares unipersonales,2022,"26,7",26.7,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de hogares unipersonales,2021,"26,4",26.4,28079,Madrid,2807912,Madrid distrito 12,,
Porcentaje de hogares unipersonales,2020,"26,2",26.2,28079,Madrid,2807912,Madrid distrito 12,,
