"id";"title";"description";"cached_votes_up";"created_at";"retired_at"
"35573";"Metro accesible Campamento ";"Campamento es un barrio donde tanto  nuestros mayores como vecinos con movilidad reducida se encuentran con un problema de acceso al metro, ni escaleras mecánicas ni ascensor. Es importante presumir de ser una ciudad con servicios adaptados pero más importante es tenerlos adaptados de verdad.";"15";"01/01/2024";""
"35574";"Creación de area deportiva en Parque infantil Fermin Caballero 86A/88";"<p>El principal objetivo de esta propuesta es la instalación de un área deportiva, con barras de diferentes tamaños, barras paralelas para la práctica de ejercicio al aire libre y fomentar el ejercicio físico. Además, el lugar para la instalación, estaría disponible, debido a que se creó un nuevo parque infantil más moderno dónde van a jugar todos los niños y el antiguo no se utiliza. También, se podría instalar en una de las 3 zonas para petanca creadas, de las cuales no se utiliza ninguna. </p>";"0";"01/01/2024";""
"35575";"Remodelación Rotonda de Canillejas y vía de servicio (c/ Alcalá) ";"<p>Ante la dejadez del Ayuntamiento y del Ministerio de Fomento, solicitamos la adecuación de la rotonda de Canillejas y de la antigua via de servicio (actual calle de Alcalá) en su tramo hasta la Ciudad Pegaso. Esta entrada a Madrid para muchos madrileños y viajeros internacionales procedentes del aeropuerto, presenta un estado lamentable. Suciedad, ausencia de vegetación, grafittis, aceras levantadas... todo ello impropio de una capital europea de primer orden y más propio de un suburbio tercermundista. Solicitamos a las Administraciones, y en este caso al Ayuntamiento su adecuación, la creación de zonas verdes, pasos adecuados para los peatones, eliminación de pintadas y suciedad, etc... </p>";"3";"01/01/2024";""
"35576";"Pantallas de aislamiento acústico alrededor de vías de tren.";"<p>En muchas zonas de Madrid ya se pusieron hace años pantallas antirruido alrededor de las vías de tren, pero en otros sitios todavía no. Todos los ciudadanos tenemos el mismo derecho a que las Administraciones Públicas protejan nuestra salud mediante pantallas que nos aíslen del ruido excesivo e ilegal producido por los trenes en las líneas más transitadas.</p>";"5";"01/01/2024";""
"35577";"Sala estudio Tetuán ";"<p>En  el barrio de Tetuán la sala de estudio es muy pequeña y limita el acceso a las personas que tenemos q estudiar.</p><p>Cada vez que me he tenido que acercar a la sala de estudio es el mismo problema aforo completo da igual la hora a la que llegues siempre están con el aforo completo y personas esperando fuera.</p><p>Es realmente molesto no tener disponible todas los recursos necesarios para estudiar y es simplemente una cuestión de prestar atención a las cosas que realmente afectan a esta comunidad.</p><p>Mi propuesta es buscar un sitio en el barrio en el que se pueda habilitar una biblioteca con mejores prestaciones e instalaciones, que son indispensable  para el barrio y para toda la comunidad.</p>";"1";"02/01/2024";""
"35578";"Trasladar Club nocturno Tetuán ";"<p>Resulta perturbador saber que en plena avenida Principal se encuentra un club que altera toda la esencia del barrio, las repercusiones en el barrio son caóticas.</p><p>Aceras sucias, gente en estado de ebriedad, gente haciendo escándalos por la madrugada son algunas de las cosas que se tienen que tolerar en el barrio debido a este sitio.</p><p>A los alrededores del mismo se tienen colegios lo cual resulta bastante perturbador.</p><p>Lo suyo sería la clausura de este sitio que no aporta absolutamente nada positivo para el barrio en lugar de ello lo que aporta es suciedad y una baja calidad de vida.</p><p> </p>";"3";"02/01/2024";""
"35579";"Bus Rapid - Eliminar paradas a la izquierda";"<p>Las paradas a la izquierda son un peligro debido a que:</p><ol><li><strong>Exponenen a los peatones</strong> a cruzar carriles innecesariamente. En especial las personas con movilidad reducida se ven más expuestas ya que tienen que superar más obstáculos para llegar a la parada.</li><li><strong>Expone a los usuarios</strong> usuarios al situarlos en una isleta en medio del tráfico rodado, que debe seguir un trazado sinuoso, y alguien puede cometer un error con consecuencias graves para el peatón. Adicionalmente, pueden verse en la necesidad de cruzar a las paradas de un modo inapropiado para no perder el Rapid Bus</li><li>Estas paradas provocan un <strong>estrechamiento ilógico en el que se pone en peligro a ciclistas</strong>. </li><li>Los conductores del Rapid Bus tienen que hacer <strong>maniobras agresivas</strong> para pasar de izquierda a derecha y viceversa cruzando carriles en pocos metros. Esto es peligroso para los ocupantes.</li><li>Los semaforos tienen secuencias distintas desconcertando a peatones y vehiculos con el <strong>riesgo de atropello y colisión</strong>.</li><li>Este estrechamiento provoca una <strong>aumento local de emisiones y ruidos</strong> ya que los vehículos permancen más tiempo en la zona sin importar el día y hora de la semana.</li><li>No es coherente con las reglas de la circulación que un vehículo se detenga a la izquierda salvo por avería de modo que genera <strong>situaciones de incertidumbre y sorpresa</strong> que pueden desencadenar en atropellos o accidentes.</li><li>En las calles estrechas, los vehiculos tienen que realizar unas <strong>maniobras complicadas</strong> y muchos se <strong>confunden</strong> y se van por la parada provocando <strong>riesgo de colisión y atropello</strong> ya que tanto conductores (bici, coche, ...) como peatones no esperan estar ahí.</li></ol><p>En el balance riesgos beneficios, no compensa que el Rapid Bus pare a la izquierda por lo que <u><strong>se propone la retirada URGENTE de las paradas de Rapid Bus a la izquierda.</strong></u></p>";"0";"02/01/2024";""
"35580";"Las Tablas - Pista de atletismo";"<p>Crear en la parcela que delimitan las calles Cebreiro, Portomarín y Pº Tierra de Melide un espacio para el atletismo donde se pueda crear una pista de atletismo de tierra para entrenar carrera de fondo o cross y una de 100 metros para velocidad.</p><p>Adicionalmente se pueden aprovechar los espaciós para el fomento de otras disciplinas de atletismo como salto de longitud, valla, ...</p><p>Las instalaciones deberían disponer de vestuarios y permitir que el concierto con los colegios e institutos de la zona.</p>";"1";"02/01/2024";""
"35582";"Paso de bicicletas y peatones Ciudad Universitaria a Parque del Oeste";"<p>Creación de un paso de bicicletas y peatones entre la ciudad universitaria y el parque del Oeste a la altura del Museo de América, donde puede haber un punto suficientemente elevado.Razones:-No existe ningún paso de peatones desde Moncloa hasta la plaza del Cardenal Cisneros, lo que obliga a dar una vuelta importante a los peatones por esa zona.-Existe una importante necesidad de mantenimiento y remodelación de la parte posterior del Museo de América y su conexión con el hospital Clínico, que actualmente es un parque abandonado.- Un paso en ese punto puede modificar de forma importante el flujo de peatones hacia la ciudad universitaria que actualmente se dirige siempre hacia Isaac Peral.</p>";"1";"02/01/2024";""
"35583";"Reformar las calles viejas del barrio Salesas (Justicia, Centro) ";"<p>El barrio de Salesas es uno de los más emblemáticos y atractivos del centro de Madrid pero la mayoría de las calles de su entorno como Argensola, Campoamor, Santa Teresa, Orellana, Justianano, Serrano Anguita, Hermanos Álvarez Quintero o Antonio Flores siguen sin ser reformadas. Mientras el resto del centro se renueva, esta esquina del distrito, que linda con Génova, Alonso Martínez, Sagasta, Fernando VI y Mejía Lequerica ha ido mejorando por iniciativa privada pero esta mejoría no ha ido acompañada de la reforma de sus calzadas, aceras, arbolado y mobiliario urbano. Salesas es una de las zonas más atractivas para turismo, cultura, comercio, restauración y ocio pero muchas de sus aceras siguen siendo estrechas e incómodas para transitar, llenas de coches aparcados y poco arbolado. La calidad de este espacio público no se corresponde con el alto valor patrimonial y la calidad de sus edificios. Propongo la reforma íntegra de estas calles para convertirlas en vías de plataforma única de prioridad peatonal de la misma manera que se ha llevado a cabo en las calles colindantes de Chueca y en algunas otras del barrio Salesas como San Lucas (entre Barquillo y Santo Tomé), Santo Tomé, Piamonte (entre Barquillo y Conde de Xiquena), Marqués de Monasterio, Conde de Xiquena, Tamayo y Baus, Almirante o Prim.</p>";"4";"03/01/2024";""
"35584";"Limpieza de excrementos ";"<p>Tengo animal (perro). Me siento indignado por la falta de civismo de los dueños de los perros, por no recoger los excrementos.Son pisadas po los ciegos,por los minusválidos con las ruedas y por todos aquellos que no prestan atención al andar por la vía. Esto tiene que tener r sanciones económicas.crear agente para dicho cometido,,y está claro que a lla larga saldría barata la creación de dicho cuerpo y daría puesto de trabajo . Esto repercute en una mejor convivencia.</p><p> </p>";"23";"03/01/2024";""
"35585";"Bicimad a precio justo";"<p>Propongo que el precio de Bicimad sea justo, por el uso por minutos no que se penalice si lo utilizas más de 30 minutos. Que la cuota de uso no ascienda a 10 al mes porque elimina la facilidad de utilización</p>";"1";"03/01/2024";""
"35586";"Devolución del importe del tiempo sobrante en el SER";"";"5";"03/01/2024";""
"35587";"Soterramiento M30 a la altura de Puente de Vallecas";"<p>De todo el anillo de la M30, esta zona es la única que mantiene una autovía sin soterrar, por el que cada día cruzan miles de ciudadanos, respiran sus humos, escuchan sus ruidos, corren peligro...</p><p>Llevan años dándonos largas. Ya es hora de realizar un buen proyecto (y ejecutarlo) que suponga mejorar la calidad de vida de los vecinos de Puente de Vallecas, además de soterrar la autovía, como se ha hecho en el resto de zonas de Madrid, los anteproyectos que se han presentado hasta ahora proponen una gran zona verde en esta zona, lo que conectaría el anillo verde con el centro de Madrid, una oportunidad estuoenda para potenciar el uso de bicicletas ahora que por fin tenemos Bicimad, además de mejorar considerablemente la calidad de vida de los ciudadanos de esta zona, que respiran cada día cantidades enormes de humos, viven con un ruido constante, además del peligro que supone este tipo de paso para mayores y niños (hay muchísimos accidentes consecuecia de este tipo de cruce).</p><p>Votemos para una ciudad más limpia, más verde, sin distinción del distrito donde vivas!</p><p></p>";"77";"03/01/2024";""
"35588";"Fomento del uso VMP y bicicletas";"<p>Propongo concienciar y y normalizar la necesidad de compartir espacio de automovilistas con VMP y bicicletas así como habilitar el mayor número de carriles adecuados y facilitar las conexiones entres estos. También habilitar espacios en los parkings municipales para que los residentes pueden también hacer uso de ellos con este tipo de vehículos sostenibles en un lugar seguro.</p>";"2";"03/01/2024";""
