year,category,country,value
1880,No_Smoothing,World,-0.17
1880,Lowess(5),World,-0.1
1881,No_Smoothing,World,-0.09
1881,Lowess(5),World,-0.13
1882,No_Smoothing,World,-0.11
1882,Lowess(5),World,-0.17
1883,No_Smoothing,World,-0.18
1883,Lowess(5),World,-0.2
1884,No_Smoothing,World,-0.28
1884,Lowess(5),World,-0.24
1885,No_Smoothing,World,-0.33
1885,Lowess(5),World,-0.26
1886,No_Smoothing,World,-0.31
1886,Lowess(5),World,-0.27
1887,No_Smoothing,World,-0.36
1887,Lowess(5),World,-0.27
1888,No_Smoothing,World,-0.17
1888,Lowess(5),World,-0.26
1889,No_Smoothing,World,-0.11
1889,Lowess(5),World,-0.26
1890,No_Smoothing,World,-0.35
1890,Lowess(5),World,-0.25
1891,No_Smoothing,World,-0.22
1891,Lowess(5),World,-0.26
1892,No_Smoothing,World,-0.27
1892,Lowess(5),World,-0.27
1893,No_Smoothing,World,-0.31
1893,Lowess(5),World,-0.26
1894,No_Smoothing,World,-0.31
1894,Lowess(5),World,-0.24
1895,No_Smoothing,World,-0.23
1895,Lowess(5),World,-0.23
1896,No_Smoothing,World,-0.12
1896,Lowess(5),World,-0.21
1897,No_Smoothing,World,-0.11
1897,Lowess(5),World,-0.19
1898,No_Smoothing,World,-0.28
1898,Lowess(5),World,-0.17
1899,No_Smoothing,World,-0.18
1899,Lowess(5),World,-0.18
1900,No_Smoothing,World,-0.09
1900,Lowess(5),World,-0.21
1901,No_Smoothing,World,-0.16
1901,Lowess(5),World,-0.24
1902,No_Smoothing,World,-0.29
1902,Lowess(5),World,-0.27
1903,No_Smoothing,World,-0.38
1903,Lowess(5),World,-0.29
1904,No_Smoothing,World,-0.48
1904,Lowess(5),World,-0.32
1905,No_Smoothing,World,-0.27
1905,Lowess(5),World,-0.35
1906,No_Smoothing,World,-0.23
1906,Lowess(5),World,-0.37
1907,No_Smoothing,World,-0.4
1907,Lowess(5),World,-0.39
1908,No_Smoothing,World,-0.44
1908,Lowess(5),World,-0.4
1909,No_Smoothing,World,-0.5
1909,Lowess(5),World,-0.42
1910,No_Smoothing,World,-0.45
1910,Lowess(5),World,-0.43
1911,No_Smoothing,World,-0.45
1911,Lowess(5),World,-0.4
1912,No_Smoothing,World,-0.37
1912,Lowess(5),World,-0.36
1913,No_Smoothing,World,-0.36
1913,Lowess(5),World,-0.34
1914,No_Smoothing,World,-0.16
1914,Lowess(5),World,-0.32
1915,No_Smoothing,World,-0.15
1915,Lowess(5),World,-0.32
1916,No_Smoothing,World,-0.37
1916,Lowess(5),World,-0.31
1917,No_Smoothing,World,-0.47
1917,Lowess(5),World,-0.3
1918,No_Smoothing,World,-0.31
1918,Lowess(5),World,-0.31
1919,No_Smoothing,World,-0.28
1919,Lowess(5),World,-0.3
1920,No_Smoothing,World,-0.28
1920,Lowess(5),World,-0.29
1921,No_Smoothing,World,-0.2
1921,Lowess(5),World,-0.27
1922,No_Smoothing,World,-0.29
1922,Lowess(5),World,-0.26
1923,No_Smoothing,World,-0.27
1923,Lowess(5),World,-0.25
1924,No_Smoothing,World,-0.28
1924,Lowess(5),World,-0.24
1925,No_Smoothing,World,-0.23
1925,Lowess(5),World,-0.23
1926,No_Smoothing,World,-0.11
1926,Lowess(5),World,-0.22
1927,No_Smoothing,World,-0.22
1927,Lowess(5),World,-0.21
1928,No_Smoothing,World,-0.2
1928,Lowess(5),World,-0.2
1929,No_Smoothing,World,-0.37
1929,Lowess(5),World,-0.19
1930,No_Smoothing,World,-0.16
1930,Lowess(5),World,-0.19
1931,No_Smoothing,World,-0.1
1931,Lowess(5),World,-0.19
1932,No_Smoothing,World,-0.16
1932,Lowess(5),World,-0.18
1933,No_Smoothing,World,-0.29
1933,Lowess(5),World,-0.17
1934,No_Smoothing,World,-0.13
1934,Lowess(5),World,-0.16
1935,No_Smoothing,World,-0.2
1935,Lowess(5),World,-0.14
1936,No_Smoothing,World,-0.15
1936,Lowess(5),World,-0.11
1937,No_Smoothing,World,-0.03
1937,Lowess(5),World,-0.06
1938,No_Smoothing,World,0.0
1938,Lowess(5),World,-0.02
1939,No_Smoothing,World,-0.02
1939,Lowess(5),World,0.03
1940,No_Smoothing,World,0.12
1940,Lowess(5),World,0.06
1941,No_Smoothing,World,0.18
1941,Lowess(5),World,0.09
1942,No_Smoothing,World,0.06
1942,Lowess(5),World,0.1
1943,No_Smoothing,World,0.09
1943,Lowess(5),World,0.1
1944,No_Smoothing,World,0.2
1944,Lowess(5),World,0.07
1945,No_Smoothing,World,0.09
1945,Lowess(5),World,0.04
1946,No_Smoothing,World,-0.07
1946,Lowess(5),World,0.0
1947,No_Smoothing,World,-0.03
1947,Lowess(5),World,-0.04
1948,No_Smoothing,World,-0.11
1948,Lowess(5),World,-0.07
1949,No_Smoothing,World,-0.11
1949,Lowess(5),World,-0.08
1950,No_Smoothing,World,-0.17
1950,Lowess(5),World,-0.08
1951,No_Smoothing,World,-0.07
1951,Lowess(5),World,-0.07
1952,No_Smoothing,World,0.01
1952,Lowess(5),World,-0.07
1953,No_Smoothing,World,0.08
1953,Lowess(5),World,-0.07
1954,No_Smoothing,World,-0.13
1954,Lowess(5),World,-0.07
1955,No_Smoothing,World,-0.14
1955,Lowess(5),World,-0.06
1956,No_Smoothing,World,-0.19
1956,Lowess(5),World,-0.05
1957,No_Smoothing,World,0.05
1957,Lowess(5),World,-0.04
1958,No_Smoothing,World,0.06
1958,Lowess(5),World,-0.01
1959,No_Smoothing,World,0.03
1959,Lowess(5),World,0.01
1960,No_Smoothing,World,-0.03
1960,Lowess(5),World,0.03
1961,No_Smoothing,World,0.06
1961,Lowess(5),World,0.01
1962,No_Smoothing,World,0.03
1962,Lowess(5),World,-0.01
1963,No_Smoothing,World,0.05
1963,Lowess(5),World,-0.03
1964,No_Smoothing,World,-0.2
1964,Lowess(5),World,-0.04
1965,No_Smoothing,World,-0.11
1965,Lowess(5),World,-0.05
1966,No_Smoothing,World,-0.06
1966,Lowess(5),World,-0.06
1967,No_Smoothing,World,-0.02
1967,Lowess(5),World,-0.05
1968,No_Smoothing,World,-0.08
1968,Lowess(5),World,-0.03
1969,No_Smoothing,World,0.05
1969,Lowess(5),World,-0.02
1970,No_Smoothing,World,0.03
1970,Lowess(5),World,-0.0
1971,No_Smoothing,World,-0.08
1971,Lowess(5),World,0.0
1972,No_Smoothing,World,0.01
1972,Lowess(5),World,0.0
1973,No_Smoothing,World,0.16
1973,Lowess(5),World,-0.0
1974,No_Smoothing,World,-0.07
1974,Lowess(5),World,0.01
1975,No_Smoothing,World,-0.01
1975,Lowess(5),World,0.02
1976,No_Smoothing,World,-0.1
1976,Lowess(5),World,0.04
1977,No_Smoothing,World,0.18
1977,Lowess(5),World,0.07
1978,No_Smoothing,World,0.07
1978,Lowess(5),World,0.12
1979,No_Smoothing,World,0.16
1979,Lowess(5),World,0.16
1980,No_Smoothing,World,0.26
1980,Lowess(5),World,0.2
1981,No_Smoothing,World,0.32
1981,Lowess(5),World,0.21
1982,No_Smoothing,World,0.14
1982,Lowess(5),World,0.22
1983,No_Smoothing,World,0.31
1983,Lowess(5),World,0.21
1984,No_Smoothing,World,0.16
1984,Lowess(5),World,0.21
1985,No_Smoothing,World,0.12
1985,Lowess(5),World,0.22
1986,No_Smoothing,World,0.18
1986,Lowess(5),World,0.24
1987,No_Smoothing,World,0.32
1987,Lowess(5),World,0.27
1988,No_Smoothing,World,0.39
1988,Lowess(5),World,0.31
1989,No_Smoothing,World,0.27
1989,Lowess(5),World,0.33
1990,No_Smoothing,World,0.45
1990,Lowess(5),World,0.33
1991,No_Smoothing,World,0.4
1991,Lowess(5),World,0.33
1992,No_Smoothing,World,0.22
1992,Lowess(5),World,0.33
1993,No_Smoothing,World,0.23
1993,Lowess(5),World,0.33
1994,No_Smoothing,World,0.31
1994,Lowess(5),World,0.34
1995,No_Smoothing,World,0.44
1995,Lowess(5),World,0.36
1996,No_Smoothing,World,0.33
1996,Lowess(5),World,0.4
1997,No_Smoothing,World,0.46
1997,Lowess(5),World,0.42
1998,No_Smoothing,World,0.61
1998,Lowess(5),World,0.44
1999,No_Smoothing,World,0.38
1999,Lowess(5),World,0.47
2000,No_Smoothing,World,0.39
2000,Lowess(5),World,0.5
2001,No_Smoothing,World,0.53
2001,Lowess(5),World,0.52
2002,No_Smoothing,World,0.63
2002,Lowess(5),World,0.54
2003,No_Smoothing,World,0.61
2003,Lowess(5),World,0.58
2004,No_Smoothing,World,0.53
2004,Lowess(5),World,0.61
2005,No_Smoothing,World,0.68
2005,Lowess(5),World,0.62
2006,No_Smoothing,World,0.64
2006,Lowess(5),World,0.62
2007,No_Smoothing,World,0.66
2007,Lowess(5),World,0.63
2008,No_Smoothing,World,0.54
2008,Lowess(5),World,0.64
2009,No_Smoothing,World,0.65
2009,Lowess(5),World,0.64
2010,No_Smoothing,World,0.72
2010,Lowess(5),World,0.65
2011,No_Smoothing,World,0.61
2011,Lowess(5),World,0.66
2012,No_Smoothing,World,0.65
2012,Lowess(5),World,0.7
2013,No_Smoothing,World,0.68
2013,Lowess(5),World,0.74
2014,No_Smoothing,World,0.75
